Sample	Taxon	Rank	Abundance	Type	IDGroup	SampleName	Strain	Cage	MouseID	Treatment	Colonization	Community	Sex	DOB	Notch	Control	Source
SP_10	Bacteria	Kingdom	1	RelativeAbundance	SP_10	Colon 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_11	Bacteria	Kingdom	1	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_12	Bacteria	Kingdom	1	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_13	Bacteria	Kingdom	1	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_15	Bacteria	Kingdom	1	RelativeAbundance	SP_15	Colon 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Colon
SP_16	Bacteria	Kingdom	1	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_17	Bacteria	Kingdom	1	RelativeAbundance	SP_17	Colon 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Colon
SP_18	Bacteria	Kingdom	1	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_19	Bacteria	Kingdom	1	RelativeAbundance	SP_19	Colon 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Colon
SP_2	Bacteria	Kingdom	1	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
